2026-06-16,Argentina,Algeria,3,0,FIFA World Cup,Kansas City,United States,TRUE
2026-06-16,Austria,Jordan,3,1,FIFA World Cup,Santa Clara,United States,TRUE
2026-06-17,Portugal,DR Congo,1,1,FIFA World Cup,Houston,United States,TRUE
2026-06-17,Uzbekistan,Colombia,1,3,FIFA World Cup,Mexico City,Mexico,TRUE
2026-06-17,England,Croatia,4,2,FIFA World Cup,Arlington,United States,TRUE
2026-06-17,Ghana,Panama,1,0,FIFA World Cup,Toronto,Canada,TRUE
2026-06-18,Czech Republic,South Africa,1,1,FIFA World Cup,Atlanta,United States,TRUE
2026-06-18,Mexico,South Korea,1,0,FIFA World Cup,Zapopan,Mexico,FALSE
2026-06-18,Switzerland,Bosnia and Herzegovina,4,1,FIFA World Cup,Inglewood,United States,TRUE
2026-06-18,Canada,Qatar,6,0,FIFA World Cup,Vancouver,Canada,FALSE
2026-06-19,Scotland,Morocco,0,1,FIFA World Cup,Foxborough,United States,TRUE
2026-06-19,Brazil,Haiti,3,0,FIFA World Cup,Philadelphia,United States,TRUE
2026-06-19,United States,Australia,2,0,FIFA World Cup,Seattle,United States,FALSE
2026-06-19,Turkey,Paraguay,0,1,FIFA World Cup,Santa Clara,United States,TRUE
2026-06-20,Germany,Ivory Coast,2,1,FIFA World Cup,Toronto,Canada,TRUE
2026-06-20,Ecuador,Curaçao,0,0,FIFA World Cup,Kansas City,United States,TRUE
2026-06-20,Netherlands,Sweden,5,1,FIFA World Cup,Houston,United States,TRUE
2026-06-20,Tunisia,Japan,0,4,FIFA World Cup,Guadalupe,Mexico,TRUE
2026-06-21,Belgium,Iran,0,0,FIFA World Cup,Inglewood,United States,TRUE
2026-06-21,New Zealand,Egypt,1,3,FIFA World Cup,Vancouver,Canada,TRUE
2026-06-21,Spain,Saudi Arabia,4,0,FIFA World Cup,Atlanta,United States,TRUE
2026-06-21,Uruguay,Cape Verde,2,2,FIFA World Cup,Miami Gardens,United States,TRUE
2026-06-22,France,Iraq,3,0,FIFA World Cup,Philadelphia,United States,TRUE
2026-06-22,Norway,Senegal,3,2,FIFA World Cup,East Rutherford,United States,TRUE
2026-06-22,Argentina,Austria,2,0,FIFA World Cup,Arlington,United States,TRUE
2026-06-22,Jordan,Algeria,1,2,FIFA World Cup,Santa Clara,United States,TRUE
2026-06-23,Portugal,Uzbekistan,5,0,FIFA World Cup,Houston,United States,TRUE
2026-06-23,Colombia,DR Congo,NA,NA,FIFA World Cup,Zapopan,Mexico,TRUE
2026-06-23,England,Ghana,0,0,FIFA World Cup,Foxborough,United States,TRUE
2026-06-23,Panama,Croatia,NA,NA,FIFA World Cup,Toronto,Canada,TRUE
2026-06-24,Mexico,Czech Republic,NA,NA,FIFA World Cup,Mexico City,Mexico,FALSE
2026-06-24,South Africa,South Korea,NA,NA,FIFA World Cup,Guadalupe,Mexico,TRUE
2026-06-24,Canada,Switzerland,NA,NA,FIFA World Cup,Vancouver,Canada,FALSE
2026-06-24,Bosnia and Herzegovina,Qatar,NA,NA,FIFA World Cup,Seattle,United States,TRUE
2026-06-24,Scotland,Brazil,NA,NA,FIFA World Cup,Miami Gardens,United States,TRUE
2026-06-24,Morocco,Haiti,NA,NA,FIFA World Cup,Atlanta,United States,TRUE
2026-06-25,United States,Turkey,NA,NA,FIFA World Cup,Inglewood,United States,FALSE
2026-06-25,Paraguay,Australia,NA,NA,FIFA World Cup,Santa Clara,United States,TRUE
2026-06-25,Curaçao,Ivory Coast,NA,NA,FIFA World Cup,Philadelphia,United States,TRUE
2026-06-25,Ecuador,Germany,NA,NA,FIFA World Cup,East Rutherford,United States,TRUE
2026-06-25,Japan,Sweden,NA,NA,FIFA World Cup,Arlington,United States,TRUE
2026-06-25,Tunisia,Netherlands,NA,NA,FIFA World Cup,Kansas City,United States,TRUE
2026-06-26,Egypt,Iran,NA,NA,FIFA World Cup,Seattle,United States,TRUE
2026-06-26,New Zealand,Belgium,NA,NA,FIFA World Cup,Vancouver,Canada,TRUE
2026-06-26,Cape Verde,Saudi Arabia,NA,NA,FIFA World Cup,Houston,United States,TRUE
2026-06-26,Uruguay,Spain,NA,NA,FIFA World Cup,Zapopan,Mexico,TRUE
2026-06-26,Norway,France,NA,NA,FIFA World Cup,Foxborough,United States,TRUE
2026-06-26,Senegal,Iraq,NA,NA,FIFA World Cup,Toronto,Canada,TRUE
2026-06-27,Algeria,Austria,NA,NA,FIFA World Cup,Kansas City,United States,TRUE
2026-06-27,Jordan,Argentina,NA,NA,FIFA World Cup,Arlington,United States,TRUE
2026-06-27,Colombia,Portugal,NA,NA,FIFA World Cup,Miami Gardens,United States,TRUE
2026-06-27,DR Congo,Uzbekistan,NA,NA,FIFA World Cup,Atlanta,United States,TRUE
2026-06-27,Panama,England,NA,NA,FIFA World Cup,East Rutherford,United States,TRUE
2026-06-27,Croatia,Ghana,NA,NA,FIFA World Cup,Philadelphia,United States,TRUE
